Normal,Simple,SARI,METEOR,ROUGE_F,BLEU,SPEARMAN_CORRELATION,PEARSON_CORRELATION
ed è proprio colpa dell uomo,ed e proprio colpa mia,50.5556,0.1,0.0,10.7,0,0
i problemi sono principalmente 1,i problemi possono essere molteplici 1,48.6111,0.2381,0.0225,9.7,0,0
naturalmente le leggi non bastano,ma le leggi non bastano,36.6667,0.1,0.0,10.7,0,0
le condizioni ci sono tutte,insomma c erano tutte le condizioni,100.0,0.9977,0.1573,100.0,0,0
mah non è colpa tua comunque,non e colpa tua,54.3651,0.2586,0.023,12.8,0,0
sono d accordo naturalmente,e siamo proprio d accordo,41.3889,0.4573,0.0455,21.4,0,0
ma questo è anche il limite,ma e un mio limite,40.9722,0.2542,0.0682,11.5,0,0
e ci fu solo la vita,e cosi e la vita,54.1667,0.1,0.0227,10.7,0,0
è questo un difetto,ho e un mio difetto,71.1111,0.5889,0.0909,39.8,0,0
si esprime pertanto un giudizio altamente positivo,si esprime quindi un giudizio pienamente positivo,38.2702,0.7302,0.0667,20.6,0,0
per maggiori informazioni visitate il sito,per maggiori informazioni visita il sito aziendale,66.6667,0.6127,0.0889,26.6,0,0
un simile assunto non può essere condiviso,questo assunto non puo essere condiviso,43.2407,0.8067,0.1573,38.0,0,0
il giudizio complessivo è più che buono,il giudizio complessivo e buono,27.4892,0.487,0.1136,23.5,0,0
e quali ne sono gli strumenti,quali sono i suoi strumenti,51.4087,0.5111,0.0227,23.6,0,0
ma non è certo questa una sorpresa,ma non e una sorpresa,55.5556,0.4331,0.0682,19.4,0,0
ma quella sarà un altra storia,ma oggi e tutta un altra storia,77.1429,0.7632,0.1111,41.1,0,0
ma questa è la mia modestissima opinione,e la mia opinione personale,63.3929,0.4331,0.0455,19.4,0,0
certo si può sempre fare di più,di certo si poteva fare di piu,75.5688,0.8552,0.1778,80.9,0,0
beh questo è il nostro prossimo obiettivo,questo e il nostro obiettivo principale,40.1389,0.2941,0.0674,10.7,0,0
w l italia è un paese bellissino,l italia e un grande paese moderno,52.8439,0.8413,0.1778,48.9,0,0
ma questa non è l unica novità importante,ma non e questa l unica novita,46.1069,0.5357,0.1111,26.3,0,0
è tutt oro ciò che luccica,e tutto oro cio che luccica,71.5278,0.625,0.1099,23.0,0,0
vorrei un suo parere al riguardo,volevo un tuo parere a riguardo,100.0,0.9977,0.1573,100.0,0,0
ma le cose non finiscono così semplicemente,ma le cose non finiscono,60.1058,0.6727,0.0909,54.8,0,0
questa non è un opinione è un dato di fatto,impossibile non e un dato di fatto e una opinione,45.4563,0.6347,0.1935,32.5,0,0
al comma 2 la parola definitivamente è soppressa,al comma 2 la parola esclusivo e soppressa,72.5997,0.8648,0.1978,70.7,0,0
la risposta non dovrebbe essere difficile,la risposta non e cosi difficile,45.0,0.098,0.0,8.1,0,0
il sito ovviamente è in inglese,il sito e in inglese e giapponese,64.3519,0.5068,0.0889,14.8,0,0
quale libro hanno sul comodino,che libro ha sul comodino,77.2222,0.75,0.1124,42.7,0,0
ma c era un errore,ma e un grosso errore,54.5833,0.2,0.0227,12.7,0,0
l emendamento 1.1 posto ai voti è approvato,posto ai voti e approvato l emendamento 01. 1,58.5852,0.686,0.129,20.6,0,0
il sito è attualmente in costruzione,il sito e in costruzione,46.713,0.487,0.0909,16.6,0,0
sussistono tuttavia giusti motivi per compensare interamente tra le parti le spese del presente grado di giudizio,sussistono giusti motivi per compensare tra le parti le spese del doppio grado di giudizio,64.1544,0.8762,0.2857,72.9,0,0
le spese del presente giudizio liquidate come in dispositivo seguono la soccombenza,le spese di giudizio seguono la soccombenza e sono liquidate come in dispositivo,81.2529,0.9209,0.32,79.1,0,0
non sanno più che pesci pigliare,non sappiamo che pesci pigliare,100.0,0.996,0.1778,100.0,0,0
non c è fretta,non c e nessuna fretta,37.6984,0.5111,0.0909,23.6,0,0
ma il fatto è solo uno,il fatto e un altro,52.381,0.5515,0.0909,20.3,0,0
non so proprio cosa mangiare,non so proprio cosa mangiare,44.0741,0.535,0.0682,20.8,0,0
questa d altronde non è una novità,ma non sono una novita,49.4444,0.1695,0.0455,10.4,0,0
la conciliazione prevede meccanismi certi rapidi ed efficaci per arrivare alla definizione della controversia,la conciliazione prevede meccanismi certi rapidi ed efficaci per arrivare alla definizione della controversia,59.1925,0.9089,0.2268,63.0,0,0
che cosa si fa adesso,che cosa fara adesso,44.6429,0.4406,0.069,21.4,0,0
però siamo solo all inizio del lavoro,ma il lavoro e solo all inizio,66.1706,0.7934,0.1333,30.7,0,0
come si affronta questo problema,come si poteva affrontare questo problema,100.0,0.9977,0.1573,100.0,0,0
questo è un modo materiale di pensare,e un nostro modo particolare di pensare,45.463,0.607,0.0889,15.6,0,0
alla porta c’ era il nipote della mamma tommaso che portava una grossa torta alla mousse di cioccolato con quaranta candeline sopra,alla porta della mamma tommaso che aveva un ’ enorme torta una grossolana che aveva dentro di cioccolato con cinque orrore sopra misura di cinque per,20.0732,0.3142,0.0727,8.4,0,0
e come giudichi il risultato finale,e come giudico il risultato finale,52.0833,0.5011,0.0222,18.0,0,0
i risultati dello studio sono stati pubblicati dalla rivista nature,i risultati dello studio sono stati pubblicati sulla rivista nature,58.6553,0.7789,0.1505,35.5,0,0
dà infine la parola ai presenti,da infine la parola ai presenti,51.0317,0.6615,0.1124,50.8,0,0
la risposta sarebbe tecnicamente no,la risposta e stata netta no,55.754,0.5011,0.0899,18.0,0,0
la cosa che gli sembrò più interessante fu che tutti i passanti indossavano guanti,la cosa che gli sembra piu importante,17.7708,0.209,0.0889,11.4,0,0
la mano si alza al cielo,alzo le nude mani al cielo,38.0952,0.3125,0.0222,16.2,0,0
pomeriggio dedicato alla visita panoramica della città,un pomeriggio dedicato alla visita della citta,51.6234,0.6127,0.1111,37.7,0,0
la seduta sospesa alle 18.15 è ripresa alle 21.30,la seduta sospesa alle 16. 15 e ripresa alle 16 16. 30,56.9053,0.6199,0.2887,21.1,0,0
la commissione centrale e quelle periferiche operano in ogni caso in piena autonomia e con indipendenza di giudizio e valutazione,in ogni caso la commissione opera in piena autonomia e con indipendenza di giudizio e valutazione,92.1771,0.9393,0.3232,88.8,0,0
poi questa è una mia opinione,queste sono le mie opinioni,100.0,0.996,0.1364,100.0,0,0
è una questione di libera scelta semplicemente,e una questione di scelte,77.5595,0.6727,0.1136,54.8,0,0
dove sbattere la testa allora,dove sbattere la testa,53.8889,0.7653,0.092,49.8,0,0
la ringrazio infinitamente per una sua risposta,la ringrazio moltissimo per le sue preziose risposte,100.0,0.999,0.1978,100.0,0,0
ma ancora un volta non è così,ma una volta non era cosi,78.4722,0.6615,0.0899,50.8,0,0
c è anche un altro problema,anche l alcol e un problema,18.8889,0.2899,0.0225,9.7,0,0
spero tanto che le cose possano cambiare,spero che le cose cambieranno,54.3651,0.5111,0.0225,23.6,0,0
e quali sono i costi di ciascuno,e poi quali sono stati i costi,39.9074,0.7212,0.0667,18.6,0,0
questa è una mia convinzione,e una mia profonda convinzione,46.4286,0.1695,0.0455,10.4,0,0
ma davvero è così semplice,ma sono cosi semplici e moderni,41.6667,0.0,0.0,4.1,0,0
non lo avrei fatto,finora non l abbiamo fatto,70.8995,0.4331,0.0455,19.4,0,0
  le immagini che invió sulla terra,le immagini che invio sulla terra,17.1591,0.8067,0.1573,38.0,0,0
almeno per me il problema non è questo,per me non e un grosso problema,67.5926,0.7311,0.1333,27.8,0,0
si creava un precedente,si puo creato un grave precedente politico,87.6389,0.8413,0.1333,64.3,0,0
c è tuttavia una questione preliminare,c e una questione centrale,67.1627,0.6356,0.1136,35.0,0,0
ma anche questa è una bugia,ma era una pietosa bugia,65.0,0.2,0.0449,12.7,0,0
questa potrebbe essere un ipotesi,ma questa e solo un ipotesi,56.6667,0.1961,0.0449,9.7,0,0
me lo merito disse allora fra sé,me lo merito disse fra se,36.1111,0.0379,0.0,2.1,0,0
articolo 37 aggiungere il seguente art,dopo l articolo 37 aggiungere il seguente art,67.0599,0.7773,0.1538,44.1,0,0
le cose stanno così,tuttavia le cose stanno cosi,57.1429,0.5889,0.0682,39.8,0,0
propriamente da lì cominciava il viaggio,da li comincia il viaggio,74.7619,0.6356,0.0682,35.0,0,0
all articolo 5 il comma 1 è sostituito dal seguente 1,il comma 5 dell articolo 1 e sostituito con il seguente 1,74.0066,0.9139,0.2737,73.5,0,0
c è solo una soluzione,c e una sola e unica soluzione,54.5833,0.1923,0.0222,7.8,0,0
spero di aver soddisfatto la curiosità di alcuni,spero di aver soddisfatto la sua curiosita,60.3535,0.7114,0.1538,61.5,0,0
perchè non c è alternativa,non c e altra alternativa,65.0,0.375,0.0455,21.4,0,0
per il resto poi si vedrà,per il resto vedremo,100.0,0.9922,0.1149,100.0,0,0
come è andata,come e andata allora il,26.6667,0.3,0.0455,14.1,0,0
non è così non siamo a questo,non e cosi non e mai stato cosi,25.9722,0.1408,0.0659,6.6,0,0
secondo me questo è un capolavoro,secondo me e un capolavoro,41.8056,0.6356,0.1136,24.7,0,0
fino ad ora ha fatto un ottimo lavoro,abbiamo fatto un ottimo lavoro,45.8333,0.6313,0.0227,25.4,0,0
che però non è l unica,ma non e certo l unico,52.9167,0.4259,0.0674,18.0,0,0
dopo mezzora finalmente si trovarono davanti ad un girasole alto e grazioso che dondolava verso il sole del mattino,dopo mezzo al mezzo arriva davanti ad un girarsi alto e fresco che passeggiava verso il sole,11.1247,0.4987,0.1748,15.3,0,0
tutto è accaduto ieri mattina poco prima delle 5,tutto e accaduto alle 5,46.0648,0.1163,0.0227,5.7,0,0
ma di certo non sono una novità,ma non sono una novita,38.1944,0.1695,0.0455,10.4,0,0
comunque so di cosa parla,comunque so di cosa parla,42.9167,0.5111,0.0455,23.6,0,0
parte del problema è proprio questo,e una parte del suo problema,84.127,0.7217,0.1348,64.3,0,0
sarebbe stato facile e qualunquista,e troppo facile e troppo arcaico,58.3333,0.1961,0.0222,9.7,0,0
stavano solo aspettando che la guerra finisse,aspettano che finisca la guerra,86.1111,0.7938,0.0909,66.9,0,0
un libro che vivamente raccomandiamo,un libro che vivamente raccomandiamo,52.9762,0.8203,0.1348,40.9,0,0
però stavolta la gente non ci fa caso,la gente non ci fece troppo caso,100.0,0.9985,0.1778,100.0,0,0
per ora comunque gli inquirenti brancolano nel buio,ma gli accertamenti erano stretti nel buio,27.9167,0.4915,0.044,14.5,0,0
abrogata ogni altra disposizione incompatibile con le norme del presente decreto,tutte le disposizioni regolamentari incompatibili con le norme del presente decreto sono abrogate,47.7447,0.4605,0.1031,38.1,0,0
ecco qui c è una differenza,c e una differenza notevole,44.6429,0.75,0.1364,42.7,0,0
limitata l attività di organizzazione direzione e coordinamento di gruppi di ricerca,limitata l attivita di organizzazione e coordinamento dei gruppi di ricerca,18.3257,0.5127,0.1064,16.1,0,0
il punto è un altro,altro punto e il seguente,30.5556,0.2206,0.0,9.4,0,0
e così è anche nella realtà,e cosi e in realta,27.9167,0.0,0.0,4.4,0,0
e questi sono solo alcuni esempi,e questi sono solo alcuni esempi,65.2146,0.949,0.1124,53.7,0,0
le idee non ti mancano,le idee ragionevoli non mancano,100.0,0.996,0.1364,100.0,0,0
sarebbe troppo facile altri menti,insomma e stato troppo facile,70.0,0.5111,0.0682,23.6,0,0
diciamo le cose come effettivamente stanno,diciamo le cose come stanno,65.463,0.6727,0.0909,54.8,0,0
un bambino su quattro nel mondo in via di sviluppo lavora anche più di 9 ore al giorno per sei giorni la settimana,un bambino su quattro nel mondo lavoro in via prioritaria di 9 ore al giorno la settimana lavorativa per sei giorni la settimana dalla settimana al giorno,23.3904,0.7105,0.2364,37.3,0,0
di chi sarebbe la colpa,di chi sono le colpe maggiori,52.7778,0.3125,0.0225,16.2,0,0
propendo per questo seconda ipotesi,si puo ancora aggiungere una seconda ipotesi,52.7778,0.3606,0.0444,13.1,0,0
forse un semplice esempio chiarisce meglio,un esempio potra chiarire meglio,75.0,0.75,0.0909,30.2,0,0
purtroppo ciò non è avvenuto,ma tutto cio non e avvenuto,41.3889,0.2941,0.0674,10.7,0,0
ed è così infatti,e infatti cosi e stato,57.5,0.2,0.0909,12.7,0,0
certo ci sono dei limiti,ma ci sono alcuni limiti,48.2143,0.0847,0.0227,8.7,0,0
la sorveglianza deve garantire che il fabbricante soddisfi correttamente gli obblighi derivanti dai sistema di qualità approvato,la sorveglianza ce deve garantire che il fabbricante soddisfi tutti gli obblighi derivanti dal sistema qualita approvato,75.4603,0.928,0.3366,73.0,0,0
è semplicemente uno stato di non guerra,questo e uno stato di non guerra,25.4167,0.7114,0.1111,61.5,0,0
la realtà invece è stata diversa,oggi la realta e diversa,49.7222,0.2,0.0909,12.7,0,0
la ringrazio anticipatamente per una risposta,la ringrazio anticipatamente per qualsiasi sua risposta,34.1667,0.4709,0.0659,14.3,0,0
vale la pena provar- li,vale comunque la pena provare,100.0,0.996,0.1364,100.0,0,0
è incredula ma fino a un certo punto,e cosi ma fino a un certo punto,58.0759,0.7361,0.1099,54.1,0,0
la ringrazio per il tempo dedicatomi,ringrazio per il tempo dedicatomi,100.0,0.996,0.1573,100.0,0,0
la commissione approva quindi la proposta di parere favorevole del relatore vedi allegato 1,la commissione approva la proposta di parere del relatore vedi allegato 1,100.0,0.9997,0.2737,100.0,0,0
c è un aspetto consolante,c e un grosso aspetto negativo,37.6984,0.25,0.0674,10.7,0,0
il giudizio sulle prove orali è complessivamente positivo,il giudizio complessivo sulla prova e positivo,31.8056,0.3727,0.0667,21.2,0,0
ovviamente non so assolutamente il perché,non so esattamente il perche,57.8373,0.5111,0.0682,23.6,0,0
non esiste abilitazione sul sostegno,non esiste alcun ostacoli al sostegno,61.3095,0.3704,0.0674,15.2,0,0
già ma proprio qui sta problema,ma proprio qui sta il problema,86.2963,0.9765,0.1124,76.0,0,0
c è un modo per risolvere personalmente il problema,c e un modo per risolvere il problema,57.7778,0.8648,0.1978,70.7,0,0
come se le cose andassero bene,e le cose vanno molto bene,74.7619,0.7353,0.0674,32.5,0,0
vorrei chieder- ti una cosa,volevo chieder - ti una cosa,55.5556,0.5011,0.0449,18.0,0,0
i suddetti giudizi vengono riportati in allegato allegato a che fa parte integrante del relativo verbale,i giudizi vengono riportati in allegato allegato a che fa parte integrante di questo verbale,100.0,0.9999,0.3265,100.0,0,0
complessivamente il candidato dimostra un più che buon livello di preparazione e maturità,il candidato dimostra un livello di preparazione e maturita scientifica molto buono,43.408,0.7017,0.1667,31.7,0,0
non è una scelta da poco,non e una scelta seria,52.2817,0.2542,0.0455,11.5,0,0
tecnicamente il lavoro è abbastanza valido,il lavoro e abbastanza leggero,45.8333,0.4573,0.0682,21.4,0,0
non se ne potrebbe fare a meno,non ne potevo fare a meno,54.6296,0.526,0.0674,19.3,0,0
c è tuttavia un rovescio della medaglia,ma c e anche il rovescio della medaglia,67.7778,0.6817,0.1304,36.6,0,0
l emendamento posto ai voti è respinto,posto ai voti tale emendamento viene respinto,100.0,0.9985,0.1778,100.0,0,0
non è una battuta la mia,la mia non e una battuta,32.5758,0.8067,0.1573,38.0,0,0
ma è un attimo un flash,ma e giusto un attimo,55.0595,0.4331,0.0909,19.4,0,0
qui invece non c è molto tempo,non c e il tempo,48.9484,0.5111,0.0909,23.6,0,0
i motivi sono ovviamente molteplici,i motivi possono essere molteplici,50.0,0.0,0.0,5.3,0,0
allora chiudo gli occhi e non voglio veder- li,poi non chiuse gli occhi e non voleva piu vedere,46.7262,0.4932,0.043,10.0,0,0
e questo è davvero un paradosso,ma e un paradosso,61.1111,0.3827,0.0909,24.9,0,0
non sarebbe una novità invero,non e una novita irrilevante,51.8056,0.2,0.0682,12.7,0,0
ha svolto un attività didattica continuativa prevalentemente all estero,ha svolto una notevole attivita didattica all estero,64.8178,0.7806,0.1319,25.8,0,0
ma la vita era un altra,la sua vita e un enorme quiz,71.9655,0.4827,0.0659,24.4,0,0
questa sarebbe una cosa positiva,questa e una cosa importante,66.6667,0.5111,0.0909,23.6,0,0
a cosa serve ora tutto,a cosa e servito tutto questo,51.5873,0.7353,0.0899,23.0,0,0
è questo un punto dolente,e questo e un punto fermo e inamovibile,57.8247,0.5091,0.0645,13.1,0,0
questa non sarebbe affatto una cattiva idea se possibile,non e un idea abbastanza speciale,41.5675,0.1961,0.0449,9.7,0,0
articolo 569 inserire il seguente articolo art,inserire dopo l articolo 569 l articolo seguente art,37.2582,0.4844,0.1075,30.7,0,0
ogni processo si svolge nel contraddittorio tra le parti in condizioni di parità davanti a giudice terzo e imparziale,ogni processo si svolge nel contraddittorio tra le parti in condizioni di parita e davanti al giudice terzo,31.9821,0.625,0.2115,32.9,0,0
purtroppo questa è la realtà,purtroppo e la cruda realta,39.5833,0.0,0.0225,5.3,0,0
a questo punto si porrebbe un altro problema,a questo punto si pone un altro problema,82.3153,0.8648,0.1319,70.7,0,0
ma potrebbe non essere il caso,certamente non poteva essere solo un caso,51.1111,0.1923,0.0222,7.8,0,0
beh questo è un altro discorso,questo e un discorso ricorrente,42.996,0.4331,0.0909,19.4,0,0
all udienza del 4 marzo 2003 la causa è stata trattenuta in decisione,alla pubblica udienza del 4 marzo 2003 la causa e stata trattenuta per la decisione,48.5117,0.7168,0.2424,37.0,0,0
