Normal,Simple1,Simple2,SARI,METEOR,ROUGE_F,BLEU
"Ma non c’era più nessuno e sul banchetto c’era un biglietto con su scritto ‘categoria completa’, e quindi Effy non avrebbe più potuto iscriversi alla gara",Ma non c ’ è più nessuno e sul banchetto c ’ era un biglietto con su scritto ` ` Non poteva più iscriversi alla gara,"['Ma non c ’ era nessuno e sul banchetto c ’ erano posti con scritto ` ` categoria completa ’ ’, e quindi Effy non poteva iscriversi alla gara']",17.4211,0.6491,0.6383,32.9
"L' emendamento 4.91a , posto ai voti , è respinto","Posto ai voti, tale emendamento è respinto","['Posto ai voti, tale emendamento è respinto']",56.1706,0.632,0.3636,38.3
Solo il tempo potrà dir- lo,Potrà dir - lo solo il tempo,['Potrà dir - lo solo il tempo'],52.1789,0.7934,1.0,43.5
"Avverte , inoltre , che il relatore ha presentato alcuni nuovi emendamenti ( vedi allegato",Avverte che il relatore ha presentato un emendamento ( vedi allegato,['Avverte che il relatore ha presentato un emendamento ( vedi allegato'],57.791,0.8137,0.6667,58.8
Non è mica una novità da poco,Non è questo certo una novità,['Non è questo certo una novità'],30.1852,0.7353,0.2857,23.0
"A quel punto, Effy nascose tutte le torce e fece dei rumori sinistri finché tutti si spaventarono e strillarono e la costrinsero a restituire le torce","A quel punto, Effy nascose tutte le torce e fece dei rumori sinistri finché tutti si spaventarono e cominciarono a piangere","['A quel punto, Effy nascose tutte le torce e fece dei rumori sinistri finché tutti si spaventarono e cominciarono a piangere']",27.3231,0.7445,0.7556,68.9
Non si tratta assolutamente della stessa cosa,Non si tratta di poca cosa,['Non si tratta di poca cosa'],100.0,0.9977,1.0,100.0
Oggi evidentemente le condizioni sono cambiate,Ma ormai le condizioni sono cambiate,['Ma ormai le condizioni sono cambiate'],66.6667,0.7782,0.6667,50.8
"Già , come faccio a dir- lo",E soprattutto come fare a dir - lo,['E soprattutto come fare a dir - lo'],63.2961,0.8294,1.0,54.1
è una questione di rispetto,è anche una questione di rispetto,['è anche una questione di rispetto'],100.0,0.9977,1.0,100.0
E questa è una realtà,è una realtà terribile,['è una realtà terribile'],40.4762,0.5215,0.0,27.5
"Egli affermò che l'escissione doveva essere radicale e che tutto il tessuto malato doveva essere rimosso, il che includeva l'uso dell'amputazione o la rimozione delle vene che correvano in direzione del tumore","Egli affermò che l'uscissione doveva essere radicale e che tutto il tessuto malato doveva essere isolato, il che significava l'uso dell'amputare o la rimuoveva in direzione del tumore","[""Egli affermò che l'uscissione doveva essere radicale e che tutto il tessuto malato doveva essere isolato, il che significava l'uso dell'amputare o la rimuoveva in direzione del tumore""]",34.2193,0.6773,0.6032,45.8
"In caso di mancata pubblicazione dei decreti di programmazione annuale , la determinazione delle quote e disciplinata in conformità con gli ultimi decreti pubblicati ai sensi del presente testo unico nell' anno precedente","In caso di mancata pubblicazione dei decreti di programmazione annuale, la determinazione delle quote è disciplinata in conformità con gli ultimi decreti pubblicati ai sensi del presente testo unico nell'anno precedente","[""In caso di mancata pubblicazione dei decreti di programmazione annuale, la determinazione delle quote è disciplinata in conformità con gli ultimi decreti pubblicati ai sensi del presente testo unico nell'anno precedente""]",65.34,0.9114,1.0,85.7
"Ma , ovviamente , questo non è sufficiente",Ma non poteva essere sufficiente,['Ma non poteva essere sufficiente'],42.9563,0.3,0.0,14.1
Questo è un altro punto importante,Questo è un altro punto incerto,['Questo è un altro punto incerto'],28.7927,0.83,0.75,76.0
Invece è proprio vero il contrario,È vero proprio il contrario,['È vero proprio il contrario'],68.5185,0.75,0.3333,23.6
La Commissione unanime esprime quindi il seguente giudizio complessivo : appena sufficiente,La Commissione unanime esprime il seguente giudizio complessivo : sufficiente,['La Commissione unanime esprime quindi il seguente giudizio complessivo : sufficiente'],40.6464,0.7585,0.6667,53.9
Ma di questo potremmo parlare un' altra volta,Ma di questo parleremo più diffusamente un'altra volta,"[""Ma di questo parleremo più diffusamente un'altra volta""]",47.1296,0.5011,0.5333,16.5
Sarebbe proprio una bella idea,è stata una grande idea,['è stata una grande idea'],77.5132,0.6356,0.2857,35.0
"Le sorprese , comunque , potrebbero non essere finite","Le sorprese, tuttavia, non erano finite","['Le sorprese, tuttavia, non erano finite']",54.6296,0.5091,0.2,7.3
Cosa si può fare per migliorare il mondo,Cosa possiamo fare per migliorare il mondo,['Cosa possiamo fare per migliorare il mondo'],100.0,0.9985,1.0,100.0
Quali sono i passaggi più spettacolari,Quali sono i passi principali,['Quali sono i passi principali'],41.5873,0.5889,0.5,39.8
36 Il lavoratore ha diritto ad una retribuzione proporzionata alla quantità e qualità del suo lavoro e in ogni caso sufficiente ad assicurare a sé e alla famiglia un' esistenza libera e dignitosa,36 - Il lavoratore ha diritto ad una retribuzione proporzionata alla quantità e qualità del suo lavoro e in ogni caso sufficientemente ad assicurare a sé e alla sua famiglia un'esistenza libera e dignitosa,"[""36 - Il lavoratore ha diritto ad una retribuzione proporzionata alla quantità e qualità del suo lavoro e in ogni caso sufficientemente ad assicurare a sé e alla sua famiglia un'esistenza libera e dignitosa""]",77.4348,0.9217,1.0,89.4
"Qual è la sua ricetta , allora",La sua ricetta qual è,['La sua ricetta qual è'],45.2742,0.8203,0.5714,24.7
La proposta è stata accolta,La proposta fu accolta unanimemente,['La proposta fu accolta unanimemente'],76.3889,0.75,0.5,42.7
"La situazione , purtroppo , è sotto gli occhi di tutti",La situazione economica è sotto gli occhi di tutti,['La situazione economica è sotto gli occhi di tutti'],66.6667,0.735,0.625,48.9
"Domanda utilizzando esclusivamente il modello 47754 indirizzato alla Giunta comunale di competenza, con l'indicazione dettagliata dell'oggetto e delle argomentazioni a sostegno del ricorso medesimo e a controdeduzione dei motivi contenuti nel provvedimento di primo grado",domandare esclusivamente il modello 47454 indirizzato alla Giunta comunale di competenza dell'oggetto e quindi le argomentazione a supporto del ricorso medesimo e a favore del ricorrente,"[""domandare esclusivamente il modello 47454 indirizzato alla Giunta comunale di competenza dell'oggetto e quindi le argomentazione a supporto del ricorso medesimo e a favore del ricorrente""]",16.4568,0.4286,0.3871,24.6
Vi era tuttavia un rovescio della medaglia,È il rovescio della medaglia,['È il rovescio della medaglia'],100.0,0.996,1.0,100.0
E questa è una guerra,Questa invece è una guerra,"[""Questa è una guerra come nessun'altra""]",65.4762,0.5889,0.3333,39.8
articolo 119 della Costituzione sostituito dal seguente,"L'articolo 119 della Costituzione è sostituito dal seguente : "" Art. 135","['L\'articolo 119 della Costituzione è sostituito dal seguente : "" Art. 135']",53.5816,0.6344,0.8889,52.4
E quello dei laziali non è un caso isolato,E non è un caso,['E non è un caso'],86.5242,0.8441,0.8571,81.9
"articolo 37 , aggiungere il seguente : « Art",Dopo l'articolo 37 aggiungere il seguente : « Art,"[""Dopo l'articolo 37 aggiungere il seguente : « Art""]",43.0769,0.4733,0.7143,18.9
Non si capisce più niente,Non voglio capire più niente,['Non voglio capire più niente'],66.6667,0.5111,0.25,23.6
Potrebbe essere quello il problema,Il problema è proprio quello,['Il problema è proprio quello'],100.0,0.996,1.0,100.0
"In definitiva , quindi , l' appello deve essere rigettato",L'appello deve essere rigettato,"[""L'appello deve essere rigettato""]",39.3849,0.5077,1.0,46.3
Ma forse il problema è un altro,Il vero problema sono sempre gli altri,['Il vero problema sono sempre gli altri'],100.0,0.9985,1.0,100.0
Ci fu un lungo silenzio,Ci fu un altro silenzio,['Ci fu un altro silenzio'],47.2222,0.1695,0.0,10.4
"La seduta , sospesa alle 9.35 , riprende alle 20",La seduta sospesa alle 10. 35 riprende alle 14. 35,['La seduta sospesa alle 10. 35 riprende alle 14. 35'],65.609,0.7011,0.4706,25.2
Si tratta probabilmente di un errore,Si tratta di un gravissimo errore,['Si tratta di un gravissimo errore'],76.3889,0.8067,0.6,53.7
È stata una cosa da nulla,È stata una cosa strana,['È stata una cosa strana'],45.8333,0.535,0.0,20.8
